facilityType,seNumber,sectionUid,sectionName,dataElementUid,dataElementCode,dhis2DataElementCode,dhis2DataElementName,sortOrder,active
HOSPITAL,3,,Administrative Support,,3.1.1.3,,,128,TRUE
HOSPITAL,3,,Administrative Support,,3.1.1.4,,,129,TRUE
HOSPITAL,3,,Administrative Support,,3.1.1.5,,,130,TRUE
HOSPITAL,3,,Administrative Support,,3.1.1.6,,,131,TRUE
HOSPITAL,3,,Administrative Support,,3.1.1.7,,,132,TRUE
HOSPITAL,3,,Administrative Support,,3.1.1.8,,,133,TRUE
HOSPITAL,3,,Administrative Support,,3.1.1.9,,,134,TRUE
HOSPITAL,3,,Administrative Support,,3.1.1.10,,,135,TRUE
HOSPITAL,3,,Administrative Support,,3.2.1.1,,,136,TRUE
HOSPITAL,3,,Administrative Support,,3.2.1.2,,,137,TRUE
HOSPITAL,3,,Administrative Support,,3.2.1.3,,,138,TRUE
HOSPITAL,3,,Administrative Support,,3.2.1.4,,,139,TRUE
HOSPITAL,3,,Administrative Support,,3.2.1.5,,,140,TRUE
HOSPITAL,3,,Administrative Support,,3.2.1.6,,,141,TRUE
HOSPITAL,3,,Administrative Support,,3.2.1.7,,,142,TRUE
HOSPITAL,3,,Administrative Support,,3.2.1.8,,,143,TRUE
HOSPITAL,3,,Administrative Support,,3.2.1.9,,,144,TRUE
HOSPITAL,3,,Administrative Support,,3.2.1.10,,,145,TRUE
HOSPITAL,3,,Administrative Support,,3.2.1.11,,,146,TRUE
HOSPITAL,3,,Administrative Support,,3.2.1.12,,,147,TRUE
HOSPITAL,3,,Administrative Support,,3.2.1.13,,,148,TRUE
HOSPITAL,3,,Administrative Support,,3.2.1.14,,,149,TRUE
HOSPITAL,3,,Administrative Support,,3.2.1.15,,,150,TRUE
HOSPITAL,3,,Administrative Support,,3.3.1.1,,,151,TRUE
HOSPITAL,3,,Administrative Support,,3.3.1.2,,,152,TRUE
HOSPITAL,3,,Administrative Support,,3.3.1.3,,,153,TRUE
HOSPITAL,3,,Administrative Support,,3.3.1.4,,,154,TRUE
HOSPITAL,3,,Administrative Support,,3.3.1.5,,,155,TRUE
HOSPITAL,3,,Administrative Support,,3.3.1.6,,,156,TRUE
HOSPITAL,3,,Administrative Support,,3.3.2.2,,,157,TRUE
HOSPITAL,3,,Administrative Support,,3.3.2.1,,,158,TRUE
HOSPITAL,3,,Administrative Support,,3.3.2.3,,,159,TRUE
HOSPITAL,3,,Administrative Support,,3.3.2.4,,,160,TRUE
HOSPITAL,3,,Administrative Support,,3.3.2.5,,,161,TRUE
HOSPITAL,3,,Administrative Support,,3.4.1.1,,,162,TRUE
HOSPITAL,3,,Administrative Support,,3.4.1.2,,,163,TRUE
HOSPITAL,3,,Administrative Support,,3.4.1.3,,,164,TRUE
HOSPITAL,3,,Administrative Support,,3.4.1.4,,,165,TRUE
HOSPITAL,3,,Administrative Support,,3.4.1.5,,,166,TRUE
HOSPITAL,3,,Administrative Support,,3.4.1.6,,,167,TRUE
HOSPITAL,3,,Administrative Support,,3.4.1.7,,,168,TRUE
HOSPITAL,3,,Administrative Support,,3.4.1.8,,,169,TRUE
HOSPITAL,3,,Administrative Support,,3.4.1.9,,,170,TRUE
HOSPITAL,3,,Administrative Support,,3.4.2.1,,,171,TRUE
HOSPITAL,3,,Administrative Support,,3.4.2.2,,,172,TRUE
HOSPITAL,3,,Administrative Support,,3.4.2.3,,,173,TRUE
HOSPITAL,3,,Administrative Support,,3.4.2.4,,,174,TRUE
HOSPITAL,3,,Administrative Support,,3.4.2.5,,,175,TRUE
HOSPITAL,3,,Administrative Support,,3.4.2.6,,,176,TRUE
HOSPITAL,3,,Administrative Support,,3.4.2.7,,,177,TRUE
HOSPITAL,4,,Access to Care,,4.1.1.1,,,178,TRUE
HOSPITAL,4,,Access to Care,,4.1.1.2,,,179,TRUE
HOSPITAL,4,,Access to Care,,4.1.1.3,,,180,TRUE
HOSPITAL,4,,Access to Care,,4.1.1.4,,,181,TRUE
HOSPITAL,4,,Access to Care,,4.1.1.5,,,182,TRUE
HOSPITAL,4,,Access to Care,,4.1.1.6,,,183,TRUE
HOSPITAL,4,,Access to Care,,4.1.1.7,,,184,TRUE
HOSPITAL,4,,Access to Care,,4.1.1.8,,,185,TRUE
HOSPITAL,4,,Access to Care,,4.1.1.9,,,186,TRUE
HOSPITAL,4,,Access to Care,,4.1.1.10,,,187,TRUE
HOSPITAL,4,,Access to Care,,4.2.1.1,,,188,TRUE
HOSPITAL,4,,Access to Care,,4.2.1.2,,,189,TRUE
HOSPITAL,4,,Access to Care,,4.2.1.3,,,190,TRUE
HOSPITAL,4,,Access to Care,,4.2.1.4,,,191,TRUE
HOSPITAL,4,,Access to Care,,4.2.1.5,,,192,TRUE
HOSPITAL,4,,Access to Care,,4.2.2.1,,,193,TRUE
HOSPITAL,4,,Access to Care,,4.2.2.2,,,194,TRUE
HOSPITAL,4,,Access to Care,,4.2.2.3,,,195,TRUE
HOSPITAL,4,,Access to Care,,4.2.2.4,,,196,TRUE
HOSPITAL,4,,Access to Care,,4.2.2.5,,,197,TRUE
HOSPITAL,4,,Access to Care,,4.2.2.6,,,198,TRUE
HOSPITAL,4,,Access to Care,,4.2.2.7,,,199,TRUE
HOSPITAL,4,,Access to Care,,4.2.3.1,,,200,TRUE
HOSPITAL,4,,Access to Care,,4.2.3.2,,,201,TRUE
HOSPITAL,4,,Access to Care,,4.2.3.3,,,202,TRUE
HOSPITAL,4,,Access to Care,,4.2.3.4,,,203,TRUE
HOSPITAL,4,,Access to Care,,4.2.4.1,,,204,TRUE
HOSPITAL,4,,Access to Care,,4.2.4.2,,,205,TRUE
HOSPITAL,4,,Access to Care,,4.2.4.3,,,206,TRUE
HOSPITAL,4,,Access to Care,,4.2.4.4,,,207,TRUE
HOSPITAL,4,,Access to Care,,4.2.4.5,,,208,TRUE
HOSPITAL,4,,Access to Care,,4.2.4.6,,,209,TRUE
HOSPITAL,5,,Patient and Family Rights,,5.1.1.1,,,210,TRUE
HOSPITAL,5,,Patient and Family Rights,,5.1.1.2,,,211,TRUE
HOSPITAL,5,,Patient and Family Rights,,5.1.1.3,,,212,TRUE
HOSPITAL,5,,Patient and Family Rights,,5.1.1.4,,,213,TRUE
HOSPITAL,5,,Patient and Family Rights,,5.1.1.5,,,214,TRUE
HOSPITAL,5,,Patient and Family Rights,,5.1.1.6,,,215,TRUE
HOSPITAL,5,,Patient and Family Rights,,5.2.1.1,,,216,TRUE
HOSPITAL,5,,Patient and Family Rights,,5.2.1.2,,,217,TRUE
