facilityType,sourceCriterionCode,sourceDescription,linkType,targetCriterionCode,sortOrder,scoringWeight,includeInTooltip,active
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,linked_criteria,3.4.1.9,19,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,linked_criteria,3.4.2.2,20,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,linked_criteria,38.2.1.1,21,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,linked_criteria,38.3.1.1,22,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,linked_criteria,5.2.1.3,23,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,linked_criteria,6.1.2.1,24,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,linked_criteria,6.3.2.2,25,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,linked_criteria,7.3.1.1,26,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,linked_criteria,7.5.1.1,27,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,linked_criteria,7.7.1.1,28,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,root,1.2.1.5,1,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,root,18.1.1.4,2,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,root,18.3.2.1,3,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,root,18.3.6.3,4,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,root,2.3.3.2,5,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,root,2.5.1.1,6,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,root,2.5.1.4,7,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,root,20.2.2.1,8,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,root,20.2.2.4,9,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,root,21.1.1.3,10,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,root,26.2.1.1,11,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,root,26.5.3.3,12,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,root,29.1.1.5,13,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,root,3.2.1.3,14,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,root,3.3.2.2,15,1,TRUE,TRUE
