facilityType,seNumber,dataElementUid,code,dhis2DataElementCode,name,dhis2DataElementName,shortName,formName,valueType,domainType,optionSetUid,active
HOSPITAL,1,pVg0m9NY8XT,1.2.8.3,120-HOSPITAL_1.2.8.3,Minutes of meetings are taken and are circulated to all relevant personnel.,SURV_HOSP_120-Minutes of meetings are taken and are circulated to all relevant personnel.,1.2.8.3,1.2.8.3,TEXT,TRACKER,,TRUE
HOSPITAL,1,FC35WLdWYWw,1.2.8.4,122-HOSPITAL_1.2.8.4,There is a mechanism to ensure that key issues resulting from meetings of the governing body and/or the management of the organisation are communicated to and acted upon by the personnel.,SURV_HOSP_122-There is a mechanism to ensure that key issues resulting from meetings of the governing body and/or the management of the organisation are communicated to and acted upon by the personnel.,1.2.8.4,1.2.8.4,TEXT,TRACKER,,TRUE
HOSPITAL,1,iDGo1ApSmF9,1.3.1.1,127-HOSPITAL_1.3.1.1,The organisation ensures that a qualified individual manages each department or service in the organisation.,SURV_HOSP_127-The organisation ensures that a qualified individual manages each department or service in the organisation.,1.3.1.1,1.3.1.1,TEXT,TRACKER,,TRUE
HOSPITAL,1,ZB4FmCbX6pw,1.3.1.2,129-HOSPITAL_1.3.1.2,The responsibilities of each departmental manager are defined in writing.,SURV_HOSP_129-The responsibilities of each departmental manager are defined in writing.,1.3.1.2,1.3.1.2,TEXT,TRACKER,,TRUE
HOSPITAL,1,MgGxhSPXKlv,1.3.1.3,131-HOSPITAL_1.3.1.3,"The departmental or service manager implements processes to manage and control human, financial and other resources.","SURV_HOSP_131-The departmental or service manager implements processes to manage and control human, financial and other resources.",1.3.1.3,1.3.1.3,TEXT,TRACKER,,TRUE
HOSPITAL,1,LSZO1jCQv6j,1.3.1.4,133-HOSPITAL_1.3.1.4,The departmental or service manager ensures that there are sufficient personnel to provide the services.,SURV_HOSP_133-The departmental or service manager ensures that there are sufficient personnel to provide the services.,1.3.1.4,1.3.1.4,TEXT,TRACKER,,TRUE
HOSPITAL,1,hGRClQnPima,1.3.1.5,135-HOSPITAL_1.3.1.5,The departmental or service manager ensures that resources are available to provide those services,SURV_HOSP_135-The departmental or service manager ensures that resources are available to provide those services.,1.3.1.5,1.3.1.5,TEXT,TRACKER,,TRUE
HOSPITAL,1,c0kMMRd0YWw,1.3.1.6,137-HOSPITAL_1.3.1.6,Departmental or service managers provide orientation and training for all personnel of the department or service appropriate to their responsibilities.,SURV_HOSP_137-Departmental or service managers provide orientation and training for all personnel of the department or service appropriate to their responsibilities.,1.3.1.6,1.3.1.6,TEXT,TRACKER,,TRUE
HOSPITAL,1,kPrcyKc3cH1,1.3.1.7,139-HOSPITAL_1.3.1.7,There is coordination and integration of services with other departments and services.,SURV_HOSP_139-There is coordination and integration of services with other departments and services.,1.3.1.7,1.3.1.7,TEXT,TRACKER,,TRUE
HOSPITAL,1,MEq7ImWO1k5,1.3.1.8,141-HOSPITAL_1.3.1.8,Departmental managers implement quality control and improvement programmes.,SURV_HOSP_141-Departmental managers implement quality control and improvement programmes.,1.3.1.8,1.3.1.8,TEXT,TRACKER,,TRUE
HOSPITAL,1,mcIKw8K4qM6,1.3.2.1,145-HOSPITAL_1.3.2.1,"Care planning and delivery is integrated and co-ordinated among care settings, departments and services.","SURV_HOSP_145-Care planning and delivery is integrated and co-ordinated among care settings, departments and services.",1.3.2.1,1.3.2.1,TEXT,TRACKER,,TRUE
HOSPITAL,1,wpP1YbT65sT,1.3.2.2,147-HOSPITAL_1.3.2.2,Clinical practice guidelines relevant to the patients and services of the organisation are implemented to guide uniform patient care processes.,SURV_HOSP_147-Clinical practice guidelines relevant to the patients and services of the organisation are implemented to guide uniform patient care processes.,1.3.2.2,1.3.2.2,TEXT,TRACKER,,TRUE
HOSPITAL,1,xiFytRaraPt,1.3.2.3,149-HOSPITAL_1.3.2.3,The hospital maintains a clinical record for each patient.,SURV_HOSP_149-The hospital maintains a clinical record for each patient.,1.3.2.3,1.3.2.3,TEXT,TRACKER,,TRUE
HOSPITAL,1,AxKYDJDcEXD,1.3.2.4,151-HOSPITAL_1.3.2.4,The patients' clinical records are completed according to guidelines determined by the organisation.,SURV_HOSP_151-The patients' clinical records are completed according to guidelines determined by the organisation.,1.3.2.4,1.3.2.4,TEXT,TRACKER,,TRUE
HOSPITAL,2,oNuUsjps218,2.1.1.1,157-HOSPITAL_2.1.1.1,A designated individual is responsible for providing support for the organisation’s human resource strategy.,SURV_HOSP_157-A designated individual is responsible for providing support for the organisation's human resource strategy.,2.1.1.1,2.1.1.1,TEXT,TRACKER,,TRUE
