facilityType,seNumber,sectionPiId,standardId,questionCode,questionText,guideline,category,severity,isCritical,dataElementUid,dhis2DataElementCode,dhis2DataElementName,uidMatchMethod,valueType,domainType,optionSetUid,compulsory,sortOrderWithinStandard,active
HOSPITAL,1,1.2,1.2.6,1.2.6.1,The organisation’s leaders ensure that policies and procedures guide and support the activities and management of the organisation.,"In measuring this criterion, the same general rules apply as when measuring “implementation of policies and procedures”. This implies that the rating of this criterion should be consistent with the findings on policies and procedures in all the other service elements. This is a “root” criterion and should be scored compliant only if there are no critical/very serious non- or partially compliant criteria, or not many other non- or partially compliant “policies and procedures” criteria in any of the other service elements.",Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,1,1.2,1.2.6,1.2.6.2,"A designated manager is responsible for compiling and indexing policies and procedures and for ensuring their circulation, recall and review.",Evidence is obtained from the written designation/delegation of such responsibility to an individual. The criterion is not prescriptive in terms of whether this individual operates independently or acts as a coordinator of a team or as chairperson of a committee. The criterion should not be scored compliant if there is evidence of non-partial execution of the listed tasks.,Basic Process + Patient Care,2,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,1,1.2,1.2.6,1.2.6.3,Policies and procedures are signed by persons authorised to do so.,This is measured against the documented organisational arrangements regarding such authorisation. Often this information is found in the policy document on “management of policies” or a letter of authorisation/delegation to the respective individuals.,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,1,1.2,1.2.6,1.2.6.4,"Policies and procedures are compiled into comprehensive manual(s) or filing system, which is indexed and easily accessible to all personnel.","This should be interpreted to also mean more than one manual – paper-based or electronic. The effectiveness of the indexing system needs to be tested by random checks on cross references between manuals and policy documents. Accessibility should be tested at departmental level, especially in the case of electronically-based systems.",Basic Process + Patient Care,2,FALSE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
HOSPITAL,1,1.2,1.2.6,1.2.6.5,"All policies and procedures are reviewed at appropriate intervals, dated and signed.","The general approach is not to penalise the criterion where there are only a few documents that do not comply. In other words, the general trend should be taken into consideration. It is expected that policies will be reviewed whenever indicated because of changes, but time frames for the routine review of policies should be defined in organisation policy. It is generally accepted that a period of 2 to 3 years between reviews should not be exceeded.",Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,5,TRUE
HOSPITAL,1,1.2,1.2.6,1.2.6.6,There is a mechanism to ensure that policies are known and implemented.,"Compliance can be demonstrated in various ways as organisations have different ways of performing these tasks. Examples of making policies known may include: 1. staff members indicate their acknowledgement by signing on the reverse of each document, on the index or on a separate sheet/form, thus undertaking to keep up to date with all relevant policies; 2. key policies and procedures are discussed at meetings; 3. memos are circulated to inform the staff of new/changed policy matters, etc. The criterion is not prescriptive regarding the method to be used but the system in operation should be tested for effectiveness. Staff members do not necessarily have to receive formal in-service training on policies, but this often happens for important/key aspects.",Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,6,TRUE
HOSPITAL,1,1.2,1.2.7,1.2.7.1,Copies of contracts are made available to those who ensure their implementation.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,1,1.2,1.2.7,1.2.7.2,Services provided under contracts/agreements meet patient needs.,"Commonly, this will apply to contracted services for catering, laundry/linen, housekeeping, security, maintenance of buildings, plant and equipment, provisioning services e.g. medication, coal for boilers, etc. It can also apply to providing personnel such as agency nurses, locums, artisans, technicians, etc. If contracts/agreements exist, this criterion is scored compliant by default, unless non-conformance by other service elements indicates a definite shortfall that can justify a NC/PC rating. Where services are rendered without a formal contract/agreement, this will be scored PC.",Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,1,1.2,1.2.7,1.2.7.3,Contracts and other arrangements are monitored as part of the organisation’s quality management and improvement programme.,"The reference to “the organisation’s quality management and improvement programme” indicates formal monitoring of analysed data. Assessment of this requirement needs to take into consideration that compliance can be achieved in various ways as different organisations may present information in many different ways, e.g. formal monitoring tools/checklists, satisfaction surveys, minutes of meetings, negotiations of contractual arrangements/specifications, service level agreements with service performance indicators, etc. This criterion cannot be scored compliant if 1.2.7.1 is non-compliant (i.e. if copies of the contracts are not available at facility level).",Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,1,1.2,1.2.7,1.2.7.4,There is a mechanism to ensure that all volunteers work under the guidance of suitably qualified health professionals in the employ of the care centre.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
