root,linked,in_hl,in_mx,mx_color,tag,status
38.9.1.5,29.3.1.5,1,0,,,HL_ONLY
38.9.1.5,30.2.1.2,1,0,,,HL_ONLY
38.9.1.5,31.2.1.5,1,0,,,HL_ONLY
38.9.1.5,31.2.1.8,1,0,,,HL_ONLY
38.9.1.5,34.4.1.1,1,0,,,HL_ONLY
38.9.1.5,4.2.2.6,1,0,,,HL_ONLY
38.9.1.5,4.2.3.2,1,0,,,HL_ONLY
38.9.1.5,4.2.3.3,1,0,,,HL_ONLY
38.9.1.5,5.1.1.3,1,0,,,HL_ONLY
38.9.1.5,5.2.1.1,1,0,,,HL_ONLY
38.9.1.5,5.2.1.2,1,0,,,HL_ONLY
38.9.1.5,5.2.1.3,1,0,,,HL_ONLY
38.9.1.5,5.3.1.2,1,0,,,HL_ONLY
38.9.1.5,5.4.1.1,1,0,,,HL_ONLY
38.9.1.5,5.6.1.1,1,0,,,HL_ONLY
38.9.1.5,6.1.2.1,1,0,,,HL_ONLY
38.9.1.5,7.1.1.1,1,0,,,HL_ONLY
38.9.1.5,7.1.1.7,1,0,,,HL_ONLY
38.9.1.5,7.2.1.3,1,0,,,HL_ONLY
38.9.1.5,7.2.2.1,1,0,,,HL_ONLY
38.9.1.5,7.2.5.1,1,0,,,HL_ONLY
38.9.1.5,7.2.5.2,1,0,,,HL_ONLY
38.9.1.5,7.2.6.4,1,0,,,HL_ONLY
38.9.1.5,7.3.1.2,1,0,,,HL_ONLY
38.9.1.5,7.5.1.1,1,0,,,HL_ONLY
38.9.1.5,7.7.1.1,1,1,green,G,BOTH
38.9.1.5,8.2.1.4,1,0,,,HL_ONLY
38.9.1.5,8.2.1.5,1,0,,,HL_ONLY
38.9.1.5,8.2.2.1,1,0,,,HL_ONLY
38.9.1.5,9.2.1.1,1,0,,,HL_ONLY
38.9.1.5,9.2.1.8,1,0,,,HL_ONLY
38.9.1.5,9.2.2.1,1,0,,,HL_ONLY
39.1.1.2,2.2.1.1,0,1,green,G,MX_ONLY
39.1.1.2,2.5.1.1,0,1,green,G,MX_ONLY
39.1.1.3,2.2.1.1,0,1,green,G,MX_ONLY
39.1.1.3,2.5.1.1,0,1,green,G,MX_ONLY
39.1.1.3,39.2.1.2,0,1,yellow,,MX_ONLY
39.1.1.3,39.4.2.1,0,1,yellow,,MX_ONLY
39.1.1.3,39.4.2.2,0,1,yellow,,MX_ONLY
39.1.1.3,39.4.2.3,0,1,yellow,,MX_ONLY
39.1.2.1,1.3.2.2,0,1,green,G,MX_ONLY
39.1.2.4,8.2.1.4,0,1,green,G,MX_ONLY
39.1.2.5,1.3.2.2,0,1,green,G,MX_ONLY
39.1.3.2,1.3.2.4,0,1,green,G,MX_ONLY
39.1.3.2,39.1.3.5,0,1,yellow,,MX_ONLY
39.1.3.5,39.1.3.2,0,1,green,G,MX_ONLY
39.1.3.5,39.2.1.1,0,1,yellow,,MX_ONLY
39.1.3.5,39.3.2.1,0,1,yellow,,MX_ONLY
39.10.1.1,9.2.2.1,0,1,green,G,MX_ONLY
39.10.1.5,7.7.1.1,0,1,green,G,MX_ONLY
39.11.1.1,7.1.1.1,0,1,green,G,MX_ONLY
39.11.1.3,7.5.1.1,0,1,green,G,MX_ONLY
39.11.1.5,7.4.1.4,0,1,green,G,MX_ONLY
39.11.1.7,7.4.1.4,0,1,green,G,MX_ONLY
39.2.1.1,1.3.2.1,0,1,green,G,MX_ONLY
39.2.1.1,39.1.3.2,0,1,green,G,MX_ONLY
