root,linked,in_hl,in_mx,mx_color,tag,status
1.1.1.2,19.1.3.1,1,1,yellow,,BOTH
1.1.1.2,2.2.1.1,1,1,yellow,,BOTH
1.1.1.2,20.1.3.1,1,1,yellow,,BOTH
1.1.1.2,25.1.1.3,1,1,yellow,,BOTH
1.1.1.2,26.1.1.3,1,1,yellow,,BOTH
1.1.1.2,27.1.1.3,1,1,yellow,,BOTH
1.1.1.2,28.1.1.3,1,1,yellow,,BOTH
1.1.1.2,32.1.1.3,1,1,yellow,,BOTH
1.1.1.2,33.1.1.3,1,1,yellow,,BOTH
1.1.1.2,34.1.1.3,1,1,yellow,,BOTH
1.1.1.2,35.1.1.3,1,1,yellow,,BOTH
1.1.1.2,36.1.1.3,1,1,yellow,,BOTH
1.1.1.2,37.1.1.3,1,1,yellow,,BOTH
1.1.1.2,38.1.3.1,0,1,yellow,,MX_ONLY
1.1.1.4,1.2.1.3,1,1,yellow,,BOTH
1.1.1.6,1.2.1.1,1,1,yellow,,BOTH
1.1.1.7,1.2.2.1,0,1,yellow,,MX_ONLY
1.1.1.8,8.1.1.1,1,1,yellow,,BOTH
1.1.1.8,8.1.1.6,1,1,yellow,,BOTH
1.1.1.8,8.2.2.4,1,1,yellow,,BOTH
1.2.1.1,1.1.1.6,1,1,green,G,BOTH
1.2.1.3,1.1.1.4,0,1,green,G,MX_ONLY
1.2.1.4,1.2.1.5,1,1,yellow,,BOTH
1.2.1.4,18.1.1.4,1,1,yellow,,BOTH
1.2.1.4,18.2.1.4,1,1,yellow,,BOTH
1.2.1.4,18.3.2.1,1,1,yellow,,BOTH
1.2.1.4,18.3.5.3,1,1,yellow,,BOTH
1.2.1.4,19.1.1.2,1,1,yellow,,BOTH
1.2.1.4,2.3.3.1,1,1,yellow,,BOTH
1.2.1.4,2.5.1.1,1,1,yellow,,BOTH
1.2.1.4,20.2.2.1,1,1,yellow,,BOTH
1.2.1.4,21.1.1.3,1,1,yellow,,BOTH
1.2.1.4,21.3.1.1,1,1,yellow,,BOTH
1.2.1.4,25.2.2.4,1,1,yellow,,BOTH
1.2.1.4,26.2.1.1,1,1,yellow,,BOTH
1.2.1.4,26.5.3.3,1,1,yellow,,BOTH
1.2.1.4,29.1.1.5,1,1,yellow,,BOTH
1.2.1.4,3.2.1.3,1,1,yellow,,BOTH
1.2.1.4,3.3.2.2,1,1,yellow,,BOTH
1.2.1.4,3.4.1.8,1,1,yellow,,BOTH
1.2.1.4,3.4.1.9,1,1,yellow,,BOTH
1.2.1.4,3.4.2.2,1,1,yellow,,BOTH
1.2.1.4,38.2.1.1,1,1,yellow,,BOTH
1.2.1.4,38.3.1.1,1,1,yellow,,BOTH
1.2.1.4,5.2.1.3,1,1,yellow,,BOTH
1.2.1.4,6.1.2.1,1,1,yellow,,BOTH
1.2.1.4,6.3.2.2,1,1,yellow,,BOTH
1.2.1.4,7.3.1.1,1,1,yellow,,BOTH
1.2.1.4,7.5.1.1,1,1,yellow,,BOTH
1.2.1.4,7.7.1.1,1,1,yellow,,BOTH
1.2.1.5,1.2.1.4,1,1,green,G,BOTH
1.2.1.5,18.3.2.1,1,1,yellow,,BOTH
1.2.1.5,18.3.4.4,1,1,yellow,,BOTH
1.2.1.5,20.2.2.1,1,1,yellow,,BOTH
1.2.1.5,3.1.1.7,1,1,yellow,,BOTH
1.2.2.1,1.1.1.7,1,1,green,G,BOTH
1.2.2.1,1.2.3.3,1,1,yellow,,BOTH
1.2.2.1,1.2.4.2,1,1,yellow,,BOTH
1.2.2.2,1.3.1.3,1,1,yellow,,BOTH
1.2.2.2,1.3.1.4,1,1,yellow,,BOTH
1.2.2.2,1.3.1.5,1,1,yellow,,BOTH
1.2.2.2,17.2.2.9,0,1,yellow,,MX_ONLY
1.2.2.2,2.2.1.1,1,1,yellow,,BOTH
1.2.2.2,22.8.6.4,0,1,yellow,,MX_ONLY
1.2.2.2,24.8.5.4,1,1,yellow,,BOTH
1.2.2.2,27.2.3.3,1,1,yellow,,BOTH
1.2.2.2,3.1.1.4,1,1,yellow,,BOTH
1.2.2.2,30.2.1.1,1,1,yellow,,BOTH
1.2.2.2,30.2.1.2,1,1,yellow,,BOTH
1.2.2.2,32.2.1.1,1,1,yellow,,BOTH
1.2.2.2,33.2.1.1,1,1,yellow,,BOTH
1.2.2.2,34.2.1.1,1,1,yellow,,BOTH
1.2.2.2,35.2.1.1,1,1,yellow,,BOTH
1.2.2.2,36.2.1.1,1,1,yellow,,BOTH
1.2.2.2,37.2.1.1,1,1,yellow,,BOTH
1.2.2.2,38.2.1.1,1,1,yellow,,BOTH
1.2.2.2,41.4.2.7,0,1,yellow,,MX_ONLY
1.2.2.3,10.2.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,11.2.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,12.2.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,13.2.1.1,1,1,yellow,,BOTH
1.2.2.3,14.2.1.1,1,1,yellow,,BOTH
1.2.2.3,15.2.1.1,1,1,yellow,,BOTH
1.2.2.3,16.2.1.1,1,1,yellow,,BOTH
1.2.2.3,17.2.1.1,1,1,yellow,,BOTH
1.2.2.3,17.2.1.4,1,1,yellow,,BOTH
1.2.2.3,19.1.4.1,1,1,yellow,,BOTH
1.2.2.3,21.5.1.1,1,1,yellow,,BOTH
1.2.2.3,22.2.1.1,1,1,yellow,,BOTH
1.2.2.3,22.2.2.3,1,1,yellow,,BOTH
1.2.2.3,22.7.1.1,1,1,yellow,,BOTH
1.2.2.3,22.7.2.1,1,1,yellow,,BOTH
1.2.2.3,23.2.1.1,1,1,yellow,,BOTH
1.2.2.3,23.2.2.1,1,1,yellow,,BOTH
1.2.2.3,24.2.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,24.2.2.2,0,1,yellow,,MX_ONLY
1.2.2.3,24.7.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,25.2.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,25.2.2.1,0,1,yellow,,MX_ONLY
1.2.2.3,26.2.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,26.2.2.1,0,1,yellow,,MX_ONLY
1.2.2.3,26.2.2.2,0,1,yellow,,MX_ONLY
1.2.2.3,27.2.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,27.2.1.6,0,1,yellow,,MX_ONLY
1.2.2.3,27.2.2.3,0,1,yellow,,MX_ONLY
1.2.2.3,28.2.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,29.2.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,29.3.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,29.3.1.5,0,1,yellow,,MX_ONLY
1.2.2.3,3.2.1.12,1,1,yellow,,BOTH
1.2.2.3,3.3.2.1,1,1,yellow,,BOTH
1.2.2.3,30.2.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,31.2.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,31.2.1.11,0,1,yellow,,MX_ONLY
1.2.2.3,31.4.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,32.2.1.2,0,1,yellow,,MX_ONLY
1.2.2.3,33.2.1.2,0,1,yellow,,MX_ONLY
1.2.2.3,34.2.1.2,0,1,yellow,,MX_ONLY
1.2.2.3,36.2.1.2,0,1,yellow,,MX_ONLY
1.2.2.3,37.2.1.2,0,1,yellow,,MX_ONLY
1.2.2.3,38.2.1.2,0,1,yellow,,MX_ONLY
1.2.2.3,39.3.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,4.1.1.6,1,1,yellow,,BOTH
1.2.2.3,4.2.1.3,1,1,yellow,,BOTH
1.2.2.3,4.2.2.6,0,1,yellow,,MX_ONLY
1.2.2.3,40.3.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,41.4.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,41.4.1.2,0,1,yellow,,MX_ONLY
1.2.2.3,41.4.4.1,0,1,yellow,,MX_ONLY
1.2.2.3,42.3.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,43.1.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,44.1.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,45.4.1.6,0,1,yellow,,MX_ONLY
1.2.2.3,5.2.2.2,0,1,yellow,,MX_ONLY
1.2.2.3,5.4.2.2,1,0,,,HL_ONLY
1.2.2.3,6.2.2.3,0,1,yellow,,MX_ONLY
1.2.2.3,7.5.1.1,0,1,yellow,,MX_ONLY
1.2.2.3,9.2.2.3,0,1,yellow,,MX_ONLY
1.2.2.4,1.2.2.6,1,1,yellow,,BOTH
1.2.2.4,31.2.1.8,1,1,yellow,,BOTH
1.2.2.4,7.1.1.1,1,1,yellow,,BOTH
1.2.2.4,7.1.1.7,1,1,yellow,,BOTH
1.2.2.4,7.2.6.4,1,1,yellow,,BOTH
1.2.2.4,7.5.1.1,1,1,yellow,,BOTH
1.2.2.4,9.1.2.5,1,1,yellow,,BOTH
1.2.2.5,1.2.2.6,1,1,yellow,,BOTH
1.2.2.5,4.2.3.3,1,1,yellow,,BOTH
1.2.2.5,5.5.1.1,1,1,yellow,,BOTH
1.2.2.7,1.2.2.4,1,1,green,G,BOTH
1.2.2.7,1.2.2.5,1,1,green,G,BOTH
1.2.2.7,1.2.2.7,1,0,,,HL_ONLY
1.2.2.7,1.2.4.3,1,1,yellow,,BOTH
1.2.2.7,7.2.6.4,1,1,yellow,,BOTH
1.2.2.8,1.2.2.6,1,1,green,G,BOTH
1.2.2.8,1.2.7.3,1,1,yellow,,BOTH
1.2.2.8,8.2.1.1,1,1,yellow,,BOTH
1.2.3.3,1.2.2.1,1,1,green,G,BOTH
1.2.3.3,24.7.2.1,1,1,yellow,,BOTH
1.2.4.2,1.2.2.1,1,1,green,G,BOTH
1.2.4.2,4.1.1.1,1,1,yellow,,BOTH
1.2.4.3,1.2.2.6,1,1,green,G,BOTH
1.2.5.1,18.1.1.3,1,1,yellow,,BOTH
1.2.5.1,20.1.1.4,1,1,yellow,,BOTH
1.2.5.1,3.2.1.3,1,1,yellow,,BOTH
1.2.5.1,5.1.1.1,1,1,yellow,,BOTH
1.2.5.1,5.2.1.1,1,1,yellow,,BOTH
1.2.5.1,5.2.1.3,1,1,yellow,,BOTH
1.2.5.1,5.4.2.1,1,1,yellow,,BOTH
1.2.5.1,5.5.1.1,1,1,yellow,,BOTH
1.2.5.1,5.6.1.1,1,1,yellow,,BOTH
1.2.5.1,6.1.2.1,1,1,yellow,,BOTH
1.2.5.3,4.1.1.10,1,1,yellow,,BOTH
1.2.5.4,1.3.2.1,1,1,yellow,,BOTH
1.2.5.4,10.4.3.3,1,0,,,HL_ONLY
1.2.5.4,10.5.6.1,1,0,,,HL_ONLY
1.2.5.4,10.9.2.1,0,1,yellow,,MX_ONLY
1.2.5.4,10.9.3.1,0,1,yellow,,MX_ONLY
1.2.5.4,10.9.4.1,0,1,yellow,,MX_ONLY
1.2.5.4,11.9.2.1,0,1,yellow,,MX_ONLY
1.2.5.4,11.9.3.1,0,1,yellow,,MX_ONLY
1.2.5.4,11.9.4.1,0,1,yellow,,MX_ONLY
1.2.5.4,12.9.2.1,0,1,yellow,,MX_ONLY
1.2.5.4,12.9.3.1,0,1,yellow,,MX_ONLY
1.2.5.4,12.9.4.1,0,1,yellow,,MX_ONLY
1.2.5.4,13.9.2.1,0,1,yellow,,MX_ONLY
1.2.5.4,13.9.3.1,0,1,yellow,,MX_ONLY
1.2.5.4,13.9.4.1,0,1,yellow,,MX_ONLY
1.2.5.4,14.9.2.1,0,1,yellow,,MX_ONLY
1.2.5.4,14.9.3.1,0,1,yellow,,MX_ONLY
1.2.5.4,14.9.4.1,0,1,yellow,,MX_ONLY
1.2.5.4,15.9.2.1,0,1,yellow,,MX_ONLY
1.2.5.4,15.9.3.1,0,1,yellow,,MX_ONLY
1.2.5.4,15.9.4.1,0,1,yellow,,MX_ONLY
1.2.5.4,16.9.2.1,1,1,yellow,,BOTH
1.2.5.4,16.9.3.1,1,1,yellow,,BOTH
1.2.5.4,16.9.4.1,1,1,yellow,,BOTH
1.2.5.4,22.11.4.1,1,1,yellow,,BOTH
1.2.5.4,22.11.5.1,1,1,yellow,,BOTH
1.2.5.4,22.11.6.1,0,1,yellow,,MX_ONLY
1.2.5.4,23.9.3.1,1,1,yellow,,BOTH
1.2.5.4,23.9.4.1,1,1,yellow,,BOTH
1.2.5.4,23.9.5.1,1,1,yellow,,BOTH
1.2.5.4,24.11.4.1,1,1,yellow,,BOTH
1.2.5.4,24.11.5.1,1,1,yellow,,BOTH
1.2.5.4,24.11.6.1,1,1,yellow,,BOTH
1.2.5.4,3.4.2.2,1,0,,,HL_ONLY
1.2.5.4,32.4.2.3,1,1,yellow,,BOTH
1.2.5.4,33.4.2.3,1,1,yellow,,BOTH
1.2.5.4,34.4.2.3,1,1,yellow,,BOTH
1.2.5.4,35.4.2.3,1,1,yellow,,BOTH
1.2.5.4,36.4.2.3,1,1,yellow,,BOTH
1.2.5.4,37.4.2.3,0,1,yellow,,MX_ONLY
1.2.5.4,38.4.2.3,1,1,yellow,,BOTH
1.2.5.4,39.7.2.1,0,1,yellow,,MX_ONLY
1.2.5.4,39.7.3.1,0,1,yellow,,MX_ONLY
1.2.5.4,39.7.4.1,0,1,yellow,,MX_ONLY
1.2.5.4,4.1.1.10,1,1,yellow,,BOTH
1.2.5.4,4.2.2.1,1,1,yellow,,BOTH
1.2.5.4,4.2.2.10,0,1,yellow,,MX_ONLY
1.2.5.4,4.3.3.10,0,1,yellow,,MX_ONLY
1.2.5.4,40.7.3.1,0,1,yellow,,MX_ONLY
1.2.5.4,40.7.4.1,0,1,yellow,,MX_ONLY
1.2.5.4,42.7.2.1,0,1,yellow,,MX_ONLY
1.2.5.4,42.7.3.1,0,1,yellow,,MX_ONLY
1.2.5.4,42.7.4.1,0,1,yellow,,MX_ONLY
1.2.5.4,43.7.2.1,0,1,yellow,,MX_ONLY
1.2.5.4,43.7.3.1,0,1,yellow,,MX_ONLY
1.2.5.4,43.7.4.1,0,1,yellow,,MX_ONLY
1.2.5.4,44.7.2.1,0,1,yellow,,MX_ONLY
1.2.5.4,44.7.3.1,0,1,yellow,,MX_ONLY
1.2.5.4,44.7.4.1,0,1,yellow,,MX_ONLY
1.2.5.4,5.6.1.1,0,1,yellow,,MX_ONLY
1.2.5.5,10.8.1.4,1,1,yellow,,BOTH
1.2.5.5,11.8.1.4,1,1,yellow,,BOTH
1.2.5.5,12.8.1.4,1,1,yellow,,BOTH
1.2.5.5,13.8.1.4,1,1,yellow,,BOTH
1.2.5.5,14.8.1.4,1,1,yellow,,BOTH
1.2.5.5,15.8.1.4,1,1,yellow,,BOTH
1.2.5.5,16.8.1.4,1,1,yellow,,BOTH
1.2.5.5,23.8.1.4,1,1,yellow,,BOTH
1.2.5.5,3.1.1.7,1,1,yellow,,BOTH
1.2.5.5,4.2.3.3,1,1,yellow,,BOTH
1.2.6.1,1.1.1.4,1,1,green,G,BOTH
1.2.6.1,1.2.1.3,1,1,green,G,BOTH
1.2.6.1,1.2.5.4,1,1,green,G,BOTH
1.2.6.1,1.3.2.1,1,1,yellow,,BOTH
1.2.6.1,17.4.1.1,1,1,yellow,,BOTH
1.2.6.1,18.2.1.6,1,1,yellow,,BOTH
1.2.6.1,19.1.1.2,1,1,yellow,,BOTH
1.2.6.1,2.1.1.3,1,1,yellow,,BOTH
1.2.6.1,20.1.2.2,1,1,yellow,,BOTH
1.2.6.1,21.1.1.3,1,1,yellow,,BOTH
1.2.6.1,21.3.1.1,1,1,yellow,,BOTH
1.2.6.1,22.6.2.1,1,1,yellow,,BOTH
1.2.6.1,22.9.1.1,1,1,yellow,,BOTH
1.2.6.1,23.4.1.1,1,1,yellow,,BOTH
1.2.6.1,24.6.2.1,1,1,yellow,,BOTH
1.2.6.1,24.9.1.1,1,1,yellow,,BOTH
1.2.6.1,25.1.1.2,1,1,yellow,,BOTH
1.2.6.1,26.1.1.2,1,1,yellow,,BOTH
1.2.6.1,27.1.1.2,1,1,yellow,,BOTH
1.2.6.1,28.1.1.2,1,1,yellow,,BOTH
1.2.6.1,29.1.1.5,1,1,yellow,,BOTH
1.2.6.1,3.1.1.2,1,1,yellow,,BOTH
1.2.6.1,3.2.1.2,1,1,yellow,,BOTH
1.2.6.1,3.3.1.2,1,1,yellow,,BOTH
1.2.6.1,30.1.1.10,1,1,yellow,,BOTH
1.2.6.1,31.1.1.3,1,1,yellow,,BOTH
1.2.6.1,32.1.1.2,1,1,yellow,,BOTH
1.2.6.1,32.3.1.1,1,1,yellow,,BOTH
1.2.6.1,33.1.1.2,1,1,yellow,,BOTH
1.2.6.1,33.3.1.1,1,1,yellow,,BOTH
1.2.6.1,34.1.1.2,1,1,yellow,,BOTH
1.2.6.1,34.3.1.1,1,1,yellow,,BOTH
1.2.6.1,35.1.1.2,1,1,yellow,,BOTH
1.2.6.1,35.3.1.1,1,1,yellow,,BOTH
1.2.6.1,36.1.1.2,1,1,yellow,,BOTH
1.2.6.1,36.3.1.1,1,1,yellow,,BOTH
1.2.6.1,37.1.1.2,1,1,yellow,,BOTH
1.2.6.1,37.3.1.1,1,1,yellow,,BOTH
1.2.6.1,38.1.2.2,0,1,yellow,,MX_ONLY
1.2.6.1,38.3.1.1,1,1,yellow,,BOTH
1.2.6.1,41.2.2.1,0,1,yellow,,MX_ONLY
1.2.6.1,5.1.1.3,1,1,yellow,,BOTH
1.2.6.1,6.1.1.1,1,1,yellow,,BOTH
1.2.6.1,7.1.1.1,1,1,yellow,,BOTH
1.2.6.1,7.2.4.2,1,1,yellow,,BOTH
1.2.6.1,8.1.1.1,1,1,yellow,,BOTH
1.2.6.1,9.1.1.1,1,1,yellow,,BOTH
1.2.6.1,9.2.1.8,1,1,yellow,,BOTH
1.2.6.6,10.6.2.3,1,1,yellow,,BOTH
1.2.6.6,11.6.2.3,1,1,yellow,,BOTH
1.2.6.6,12.6.2.3,1,1,yellow,,BOTH
1.2.6.6,13.6.2.3,1,1,yellow,,BOTH
1.2.6.6,14.6.2.3,1,1,yellow,,BOTH
1.2.6.6,15.6.2.3,1,1,yellow,,BOTH
1.2.6.6,16.6.2.3,1,1,yellow,,BOTH
1.2.6.6,21.3.1.1,1,1,yellow,,BOTH
1.2.6.6,39.4.2.8,0,1,yellow,,MX_ONLY
1.2.6.6,40.4.2.9,0,1,yellow,,MX_ONLY
1.2.6.6,42.4.2.9,0,1,yellow,,MX_ONLY
1.2.6.6,43.4.2.9,0,1,yellow,,MX_ONLY
1.2.6.6,44.4.2.9,0,1,yellow,,MX_ONLY
1.2.6.6,7.2.2.1,1,1,yellow,,BOTH
1.2.6.6,7.2.3.1,1,1,yellow,,BOTH
1.2.6.6,7.2.4.1,1,1,yellow,,BOTH
1.2.7.2,18.1.1.1,1,1,yellow,,BOTH
1.2.7.2,18.2.1.5,0,1,yellow,,MX_ONLY
1.2.7.2,18.4.1.4,0,1,yellow,,MX_ONLY
1.2.7.2,19.1.1.1,0,1,yellow,,MX_ONLY
1.2.7.2,19.2.1.2,0,1,yellow,,MX_ONLY
1.2.7.2,19.3.2.8,0,1,yellow,,MX_ONLY
1.2.7.2,20.1.1.1,0,1,yellow,,MX_ONLY
1.2.7.2,20.1.1.3,0,1,yellow,,MX_ONLY
1.2.7.2,20.1.3.1,0,1,yellow,,MX_ONLY
1.2.7.2,20.1.3.6,0,1,yellow,,MX_ONLY
1.2.7.2,20.2.3.2,0,1,yellow,,MX_ONLY
1.2.7.2,22.7.1.1,0,1,yellow,,MX_ONLY
1.2.7.2,22.7.2.1,0,1,yellow,,MX_ONLY
1.2.7.2,24.7.1.1,0,1,yellow,,MX_ONLY
1.2.7.2,24.7.2.1,0,1,yellow,,MX_ONLY
1.2.7.2,26.1.1.1,0,1,yellow,,MX_ONLY
1.2.7.2,27.1.1.1,0,1,yellow,,MX_ONLY
1.2.7.2,28.1.1.1,0,1,yellow,,MX_ONLY
1.2.7.2,32.1.1.1,0,1,yellow,,MX_ONLY
1.2.7.2,33.1.1.1,1,1,yellow,,BOTH
1.2.7.2,34.1.1.1,1,1,yellow,,BOTH
1.2.7.2,35.1.1.1,1,1,yellow,,BOTH
1.2.7.2,36.1.1.1,1,1,yellow,,BOTH
1.2.7.2,37.1.1.1,1,1,yellow,,BOTH
1.2.7.2,38.1.1.1,1,1,yellow,,BOTH
1.2.7.2,38.1.1.3,1,1,yellow,,BOTH
1.2.7.2,45.1.2.5,0,1,yellow,,MX_ONLY
1.2.7.3,1.2.2.7,1,1,green,G,BOTH
1.2.7.3,18.3.2.13,1,1,yellow,,BOTH
1.2.7.3,2.5.1.6,1,1,yellow,,BOTH
1.2.7.3,20.1.1.3,1,1,yellow,,BOTH
1.2.7.3,27.2.2.1,1,1,yellow,,BOTH
1.2.7.3,28.4.1.4,1,1,yellow,,BOTH
1.2.7.3,29.1.2.2,1,1,yellow,,BOTH
1.2.7.3,29.1.2.4,1,1,yellow,,BOTH
1.2.7.3,31.2.1.10,0,1,yellow,,MX_ONLY
1.2.7.3,38.1.4.9,0,1,yellow,,MX_ONLY
1.2.7.3,45.1.2.5,0,1,yellow,,MX_ONLY
1.2.7.3,6.2.2.5,1,1,yellow,,BOTH
1.2.7.3,7.3.1.3,1,1,yellow,,BOTH
1.2.7.3,7.5.1.3,1,1,yellow,,BOTH
1.2.7.3,8.2.1.1,1,1,yellow,,BOTH
1.2.7.3,8.2.2.1,1,1,yellow,,BOTH
1.2.7.6,2.4.1.4,1,1,yellow,,BOTH
1.2.8.1,1.3.2.1,1,1,yellow,,BOTH
1.2.8.1,17.1.2.1,1,1,yellow,,BOTH
1.2.8.1,21.1.2.1,1,1,yellow,,BOTH
1.2.8.1,29.1.1.4,1,1,yellow,,BOTH
1.2.8.1,3.1.1.3,1,1,yellow,,BOTH
1.2.8.1,30.1.1.1,1,1,yellow,,BOTH
1.2.8.1,31.1.1.3,1,1,yellow,,BOTH
1.2.8.1,7.3.1.1,1,1,yellow,,BOTH
1.2.8.1,8.1.1.2,1,1,yellow,,BOTH
1.2.8.1,9.1.1.5,1,1,yellow,,BOTH
1.2.8.4,1.1.1.2,1,1,green,G,BOTH
1.3.1.1,17.1.2.2,1,1,yellow,,BOTH
1.3.1.1,18.2.1.5,1,1,yellow,,BOTH
1.3.1.1,19.1.2.1,1,1,yellow,,BOTH
1.3.1.1,2.2.1.1,1,1,yellow,,BOTH
1.3.1.1,2.3.1.1,1,1,yellow,,BOTH
1.3.1.1,20.1.2.1,1,1,yellow,,BOTH
1.3.1.1,21.1.1.1,1,1,yellow,,BOTH
1.3.1.1,25.1.1.1,0,1,yellow,,MX_ONLY
1.3.1.1,26.1.1.1,0,1,yellow,,MX_ONLY
1.3.1.1,27.1.1.1,0,1,yellow,,MX_ONLY
1.3.1.1,28.1.1.1,1,1,yellow,,BOTH
1.3.1.1,29.1.1.1,1,1,yellow,,BOTH
1.3.1.1,30.1.1.3,1,1,yellow,,BOTH
1.3.1.1,31.1.1.1,1,1,yellow,,BOTH
1.3.1.1,32.1.1.1,1,1,yellow,,BOTH
1.3.1.1,33.1.1.1,1,1,yellow,,BOTH
1.3.1.1,34.1.1.1,1,1,yellow,,BOTH
1.3.1.1,35.1.1.1,1,1,yellow,,BOTH
1.3.1.1,36.1.1.1,1,1,yellow,,BOTH
1.3.1.1,41.1.1.1,0,1,yellow,,MX_ONLY
1.3.1.2,2.3.1.1,1,1,yellow,,BOTH
1.3.1.2,25.1.1.4,1,1,yellow,,BOTH
1.3.1.2,26.1.1.4,1,1,yellow,,BOTH
1.3.1.2,27.1.1.4,1,1,yellow,,BOTH
1.3.1.2,28.1.1.4,1,1,yellow,,BOTH
1.3.1.2,29.1.1.2,1,1,yellow,,BOTH
1.3.1.2,31.1.1.2,1,1,yellow,,BOTH
1.3.1.2,32.1.1.4,1,1,yellow,,BOTH
1.3.1.2,33.1.1.4,1,1,yellow,,BOTH
1.3.1.2,34.1.1.4,1,1,yellow,,BOTH
1.3.1.2,35.1.1.4,1,1,yellow,,BOTH
1.3.1.2,36.1.1.4,1,1,yellow,,BOTH
1.3.1.2,37.1.1.4,1,1,yellow,,BOTH
1.3.1.2,38.1.1.4,1,1,yellow,,BOTH
1.3.1.3,1.2.2.2,1,1,green,G,BOTH
1.3.1.3,9.2.2.1,1,1,yellow,,BOTH
1.3.1.4,1.2.2.2,1,1,green,G,BOTH
1.3.1.4,17.1.2.3,1,1,yellow,,BOTH
1.3.1.4,2.1.1.4,1,1,yellow,,BOTH
1.3.1.4,2.2.1.1,1,1,yellow,,BOTH
1.3.1.4,41.1.1.2,0,1,yellow,,MX_ONLY
1.3.1.5,1.2.2.2,1,1,green,G,BOTH
1.3.1.5,17.2.2.8,0,1,yellow,,MX_ONLY
1.3.1.5,19.1.5.2,1,1,yellow,,BOTH
1.3.1.5,20.2.3.1,1,1,yellow,,BOTH
1.3.1.5,21.2.1.1,1,1,yellow,,BOTH
1.3.1.5,26.4.1.3,1,1,yellow,,BOTH
1.3.1.5,27.2.3.6,1,1,yellow,,BOTH
1.3.1.5,28.4.1.2,1,1,yellow,,BOTH
1.3.1.5,29.2.2.1,1,1,yellow,,BOTH
1.3.1.5,29.2.3.2,1,1,yellow,,BOTH
1.3.1.5,3.1.1.3,1,1,yellow,,BOTH
1.3.1.5,3.1.1.8,1,1,yellow,,BOTH
1.3.1.5,3.3.1.3,1,1,yellow,,BOTH
1.3.1.5,3.4.1.2,1,1,yellow,,BOTH
1.3.1.5,6.2.1.3,1,1,yellow,,BOTH
1.3.1.5,7.7.1.7,1,1,yellow,,BOTH
1.3.1.5,9.2.2.1,1,1,yellow,,BOTH
1.3.1.6,2.4.1.3,1,1,green,G,BOTH
1.3.1.6,2.4.2.2,1,1,green,G,BOTH
1.3.1.7,18.1.1.1,1,1,yellow,,BOTH
1.3.1.7,19.1.1.1,1,1,yellow,,BOTH
1.3.1.7,20.1.1.1,1,1,yellow,,BOTH
1.3.1.7,32.4.1.2,1,1,yellow,,BOTH
1.3.1.7,33.4.1.2,1,1,yellow,,BOTH
1.3.1.7,34.4.1.2,1,1,yellow,,BOTH
1.3.1.7,35.4.1.2,1,1,yellow,,BOTH
1.3.1.7,36.4.1.2,1,1,yellow,,BOTH
1.3.1.7,37.4.1.2,1,1,yellow,,BOTH
1.3.1.7,38.1.1.1,1,1,yellow,,BOTH
1.3.1.8,18.1.1.7,1,1,yellow,,BOTH
1.3.1.8,19.3.2.1,1,1,yellow,,BOTH
1.3.1.8,20.3.2.1,1,1,yellow,,BOTH
1.3.1.8,8.1.1.1,1,1,yellow,,BOTH
1.3.1.8,8.1.1.2,1,1,yellow,,BOTH
1.3.1.8,8.2.2.1,1,1,yellow,,BOTH
1.3.2.1,1.2.5.4,1,1,green,G,BOTH
1.3.2.1,1.2.6.1,1,1,green,G,BOTH
1.3.2.1,1.2.8.1,1,1,green,G,BOTH
1.3.2.1,10.4.1.1,1,1,yellow,,BOTH
1.3.2.1,10.5.2.1,1,1,yellow,,BOTH
1.3.2.1,10.5.5.2,1,1,yellow,,BOTH
1.3.2.1,10.5.6.1,1,1,yellow,,BOTH
1.3.2.1,10.6.1.1,1,1,yellow,,BOTH
1.3.2.1,10.6.2.3,1,1,yellow,,BOTH
1.3.2.1,10.7.1.5,1,1,yellow,,BOTH
1.3.2.1,10.9.1.1,1,1,yellow,,BOTH
1.3.2.1,10.9.4.1,1,1,yellow,,BOTH
1.3.2.1,11.4.1.1,1,1,yellow,,BOTH
1.3.2.1,11.5.2.1,1,1,yellow,,BOTH
1.3.2.1,11.5.5.2,1,1,yellow,,BOTH
1.3.2.1,11.5.6.1,1,1,yellow,,BOTH
1.3.2.1,11.6.1.1,1,1,yellow,,BOTH
