40.3.2                    | lngYVX3pzbq  | The care provided to each patient is planned and written in the patient's record.
40.3.2-comments           | oma11GYnxP5  | The care provided to each patient is planned and written in the patient's record.-comments
40.3.2.1                  | a4ESKERr1E5  | The care for each patient is planned, provided and noted in the patient's record.
40.3.2.1-comments         | HpbhGj1na9i  | The care for each patient is planned, provided and noted in the patient's record.-comments
40.3.2.2                  | eAE9yYsFtnL  | The patient's response to care and therapeutic interventions is documented in the patient record.
40.3.2.2-comments         | tkGRfkJCghr  | The patient's response to care and therapeutic interventions is documented in the patient record.-comments
40.3.2.3                  | vA6uX2ZWORA  | Meetings to discuss patient care/treatment regimes are held by the multidisciplinary team at regular intervals as determined by organisational policy and documented in the patient's record.
40.3.2.3-comments         | GpynCHaO4Wh  | Meetings to discuss patient care/treatment regimes are held by the multidisciplinary team at regular intervals as determined by organisational policy and documented in the patient's record.-comments
40.3.2.4                  | HEjyCBouc5E  | All procedures and diagnostic tests ordered and performed, are documented in the patient's record.
40.3.2.4-comments         | wMq1TXiuXdX  | All procedures and diagnostic tests ordered and performed, are documented in the patient's record.-comments
40.3.2.5                  | pdsGactIfxX  | The results of procedures and diagnostic tests performed are available in the patient's record.
40.3.2.5-comments         | h7OMnvDE73x  | The results of procedures and diagnostic tests performed are available in the patient's record.-comments
40.3.2.6                  | C7LP5H14gKs  | Orders are found in a uniform location in patient records.
40.3.2.6-comments         | BgHv3LM2Ffc  | Orders are found in a uniform location in patient records.-comments
40.3.2.7                  | Hz9JzvygfdK  | Only those permitted to write orders do so.
40.3.2.7-comments         | HacYvTTLidj  | Only those permitted to write orders do so.-comments
40.3.2.8                  | sImIbAS7iB8  | Reassessments are performed at appropriate, regular intervals and following a change in the patient's condition, and documented in the patient's record.
40.3.2.8-comments         | OAOcmM8iQou  | Reassessments are performed at appropriate, regular intervals and following a change in the patient's condition, and documented in the patient's record.-comments
40.3.2.9                  | YtN8xMCxjNG  | Care plans are revised when necessary in response to the findings of reassessments.
40.3.2.9-comments         | ynPfhPXzzYo  | Care plans are revised when necessary in response to the findings of reassessments.-comments
40.3.3                    | M3YI27ytitx  | Compassionate care is provided to the dying and to those in pain.
40.3.3-comments           | WHiXcSMrsZc  | Compassionate care is provided to the dying and to those in pain.-comments
40.3.3.1                  | WPVpXtSeG1g  | The assessment process makes provision for patients in pain to be identified.
40.3.3.1-comments         | S0JU0k96USb  | The assessment process makes provision for patients in pain to be identified.-comments
40.3.3.2                  | OtRIkcsfk8m  | Patients in pain receive care according to pain management guidelines.
40.3.3.2-comments         | kXsOsyUbOsR  | Patients in pain receive care according to pain management guidelines.-comments
40.3.3.3                  | zwbAP8c45Oz  | There is evidence that the effectiveness of pain and symptom management is monitored.
40.3.3.3-comments         | bBYQwgkZmTD  | There is evidence that the effectiveness of pain and symptom management is monitored.-comments
40.3.3.4                  | XiJ7NmPxRJU  | Patients and families are educated about pain and pain management.
40.3.3.4-comments         | TAOwq8hXxcq  | Patients and families are educated about pain and pain management.-comments
40.3.3.5                  | VwiMm9JmFUl  | The organisation has processes to educate health professionals in assessing and managing pain.
40.3.3.5-comments         | EBu8D1zFOFx  | The organisation has processes to educate health professionals in assessing and managing pain.-comments
40.3.3.6                  | gEmxe4LbEND  | Personnel provide respectful and compassionate care to dying patients.
40.3.3.6-comments         | gC4zAljRTlp  | Personnel provide respectful and compassionate care to dying patients.-comments
40.3.4                    | VV1wwnVZyew  | Policies and procedures guide the care of high-risk patients and the provision of high-risk services.
40.3.4-comments           | m6ktjr4fRI2  | Policies and procedures guide the care of high-risk patients and the provision of high-risk services.-comments
40.3.4.1                  | xgVDIsdckF7  | Documented policies, clinical guidelines or standard operating procedures for identified high risk patients and procedures, which include items (a)-(h) in the standard intent above as a minimum, are available and re
40.3.4.1-comments         | QvZCJBVSCDC  | Documented policies, clinical guidelines or standard operating procedures for identified high risk patients and procedures, which include items (a)-(h) in the standard intent above as a minimum, are available and re
40.3.4.2                  | GfKNXeiDDj8  | In-service training is provided to personnel to ensure they understand the intent and content of the policies and procedures.
40.3.4.2-comments         | HxaNSZX1pVC  | In-service training is provided to personnel to ensure they understand the intent and content of the policies and procedures.-comments
40.3.4.3                  | L3BhFB16hQ6  | Patients receive care consistent with the policies and procedures.
